LED1  voltage,photoresistor  voltage,Time,LED2  voltage,photoresistor  voltage,Time,LED3  voltage,photoresistor  voltage,Time
1920,878,Sat Oct  5 21:12:07 2024,1920,2249,Sat Oct  5 21:55:05 2024,1920,3032,Sat Oct  5 22:15:42 2024
1500,0,Sat Oct  5 21:12:16 2024,1500,0,Sat Oct  5 21:55:14 2024,1500,0,Sat Oct  5 22:15:50 2024
1520,0,Sat Oct  5 21:12:24 2024,1520,0,Sat Oct  5 21:55:22 2024,1520,0,Sat Oct  5 22:15:59 2024
1540,0,Sat Oct  5 21:12:33 2024,1540,0,Sat Oct  5 21:55:31 2024,1540,0,Sat Oct  5 22:16:07 2024
1560,0,Sat Oct  5 21:12:41 2024,1560,0,Sat Oct  5 21:55:39 2024,1560,0,Sat Oct  5 22:16:16 2024
1580,0,Sat Oct  5 21:12:50 2024,1580,0,Sat Oct  5 21:55:48 2024,1580,0,Sat Oct  5 22:16:24 2024
1600,0,Sat Oct  5 21:12:58 2024,1600,0,Sat Oct  5 21:55:56 2024,1600,0,Sat Oct  5 22:16:33 2024
1620,0,Sat Oct  5 21:13:07 2024,1620,3,Sat Oct  5 21:56:05 2024,1620,23,Sat Oct  5 22:16:41 2024
1640,0,Sat Oct  5 21:13:15 2024,1640,17,Sat Oct  5 21:56:13 2024,1640,46,Sat Oct  5 22:16:50 2024
1660,5,Sat Oct  5 21:13:24 2024,1660,112,Sat Oct  5 21:56:22 2024,1660,207,Sat Oct  5 22:16:58 2024
1680,21,Sat Oct  5 21:13:32 2024,1680,158,Sat Oct  5 21:56:30 2024,1680,303,Sat Oct  5 22:17:07 2024
1700,66,Sat Oct  5 21:13:41 2024,1700,319,Sat Oct  5 21:56:39 2024,1700,557,Sat Oct  5 22:17:15 2024
1720,91,Sat Oct  5 21:13:49 2024,1720,408,Sat Oct  5 21:56:47 2024,1720,705,Sat Oct  5 22:17:24 2024
1740,167,Sat Oct  5 21:13:58 2024,1740,645,Sat Oct  5 21:56:56 2024,1740,1050,Sat Oct  5 22:17:32 2024
1760,257,Sat Oct  5 21:14:06 2024,1760,930,Sat Oct  5 21:57:04 2024,1760,1419,Sat Oct  5 22:17:41 2024
1780,301,Sat Oct  5 21:14:15 2024,1780,1070,Sat Oct  5 21:57:13 2024,1780,1611,Sat Oct  5 22:17:49 2024
1800,405,Sat Oct  5 21:14:23 2024,1800,1353,Sat Oct  5 21:57:21 2024,1800,1916,Sat Oct  5 22:17:58 2024
1820,456,Sat Oct  5 21:14:32 2024,1820,1462,Sat Oct  5 21:57:30 2024,1820,2050,Sat Oct  5 22:18:06 2024
1840,564,Sat Oct  5 21:14:40 2024,1840,1709,Sat Oct  5 21:57:38 2024,1840,2307,Sat Oct  5 22:18:15 2024
1860,619,Sat Oct  5 21:14:49 2024,1860,1819,Sat Oct  5 21:57:47 2024,1860,2432,Sat Oct  5 22:18:23 2024
1880,714,Sat Oct  5 21:14:57 2024,1880,1988,Sat Oct  5 21:57:55 2024,1880,2644,Sat Oct  5 22:18:32 2024
1900,772,Sat Oct  5 21:15:06 2024,1900,2092,Sat Oct  5 21:58:04 2024,1900,2755,Sat Oct  5 22:18:40 2024
1920,876,Sat Oct  5 21:15:14 2024,1920,2262,Sat Oct  5 21:58:12 2024,1920,3009,Sat Oct  5 22:18:49 2024
1500,0,Sat Oct  5 21:15:23 2024,1500,0,Sat Oct  5 21:58:21 2024,1500,0,Sat Oct  5 22:18:57 2024
,,,,,,1520,0,Sat Oct  5 22:19:06 2024
,,,,,,1540,0,Sat Oct  5 22:19:14 2024
,,,,,,1560,0,Sat Oct  5 22:19:23 2024
,,,,,,1580,0,Sat Oct  5 22:19:31 2024
,,,,,,1600,0,Sat Oct  5 22:19:40 2024
,,,,,,1620,21,Sat Oct  5 22:19:48 2024
,,,,,,1640,42,Sat Oct  5 22:19:57 2024
,,,,,,1660,205,Sat Oct  5 22:20:05 2024
,,,,,,1680,296,Sat Oct  5 22:20:14 2024
